Date,BTC_hist_var,ETH_hist_var,SNT_hist_var,EUR_hist_var,BTC_model_var,ETH_model_var,SNT_model_var,EUR_model_var
2024-01-31,-0.04987889563164554,-0.06509196944655093,-0.07958482129764269,-0.00788466284379752,-0.05076127044107761,-0.06457649394847614,-0.08602835988083789,-0.00663542442659369
2024-02-01,-0.049862585074271756,-0.0650718574720046,-0.07957324839470646,-0.007879837110221704,-0.033468923006676796,-0.041967813751960244,-0.08468766798442968,-0.006963834341977512
2024-02-02,-0.04984627451689797,-0.06505174549745825,-0.07956167549177023,-0.007875011376645888,-0.04091541602621757,-0.05122337156115251,-0.08942210330815803,-0.008027955126212186
2024-02-03,-0.04982996395952418,-0.06503163352291191,-0.079550102588834,-0.00787018564307007,-0.04053150284408704,-0.05008366194544585,-0.09025159216081521,-0.007873549688916601
2024-02-04,-0.04981365340215039,-0.06501152154836556,-0.07953852968589778,-0.007865359909494253,-0.04488956073849904,-0.05565462883381776,-0.09189363622833145,-0.006916054757482562
2024-02-05,-0.0497973428447766,-0.06499140957381921,-0.07952695678296154,-0.007860534175918437,-0.052040727511086654,-0.06531826687680532,-0.08746483972515007,-0.007998657420097605
2024-02-06,-0.04978103228740281,-0.06497129759927288,-0.07951538388002531,-0.00785570844234262,-0.035462765776870006,-0.04395579019851656,-0.0873905230071047,-0.007775834170193678
2024-02-07,-0.04976472173002903,-0.06495118562472653,-0.07950381097708908,-0.007850882708766804,-0.03741920844806885,-0.0470563636733297,-0.09008325265015266,-0.0069503673402262186
2024-02-08,-0.04974841117265524,-0.0649310736501802,-0.07949223807415286,-0.007846056975190986,-0.030170494027138922,-0.03911629932486469,-0.08389113919236622,-0.006956563623970143
2024-02-09,-0.049732100615281445,-0.06491096167563384,-0.07948066517121663,-0.00784123124161517,-0.03521166461036035,-0.04341499703208785,-0.08589645376770288,-0.006872758102180944
2024-02-10,-0.049715790057907654,-0.0648908497010875,-0.07946909226828039,-0.007836405508039353,-0.04233093817394912,-0.05410922589897651,-0.08676391661244356,-0.0068655401772865785
2024-02-11,-0.049699479500533876,-0.06487073772654117,-0.07945751936534413,-0.007831579774463528,-0.03593133130765769,-0.0465451859838083,-0.08216240460586406,-0.007001153846914518
2024-02-12,-0.049690851080083746,-0.06486289293839306,-0.07940479439141218,-0.00781667479362556,-0.03988778620814692,-0.04945328728306951,-0.08951028971999275,-0.007150734835606443
2024-02-13,-0.04968222265963362,-0.06485504815024495,-0.07935206941748026,-0.007801769812787593,-0.0478659601807452,-0.061694996344867706,-0.08608631069942357,-0.007827897969015608
2024-02-14,-0.04967359423918349,-0.06484720336209686,-0.07929934444354832,-0.007786864831949627,-0.03173062323608855,-0.03987757528511553,-0.08272499704101809,-0.007133505356378972
2024-02-15,-0.04966496581873336,-0.06483935857394875,-0.07924661946961638,-0.00777195985111166,-0.029710808304143067,-0.036674793204371385,-0.09245680540073924,-0.00662884488430696
2024-02-16,-0.04965633739828323,-0.06483151378580065,-0.07919389449568444,-0.007757054870273694,-0.04297609642877517,-0.05392169169068905,-0.08522018742680211,-0.006904967006530449
