Date,BTC,ETH,SNT,EUR
06/08/2023,29065.05,1865.2758,0.0252847333,0.907
05/08/2023,29118.39,1831.3543,0.02547180344,0.907
04/08/2023,29215.74,1839.5042,0.02542456012,0.90617
03/08/2023,29167.71,1839.5182,0.02551546975,0.91245
02/08/2023,29760.35,1873.5962,0.02486820413,0.91333
01/08/2023,29226.01,1856.2227,0.02523068204,0.91156
31/07/2023,29285.32,1862.1056,0.02524326018,0.90866
30/07/2023,29355.01,1884.0244,0.02564102572,0.9065
29/07/2023,29305.34,1876.9101,0.02644293919,0.9065
28/07/2023,29214.02,1864.0701,0.02561528596,0.90677
27/07/2023,29337.96,1872.7497,0.02538608541,0.909695
26/07/2023,29217.21,1860.0019,0.02552546752,0.903465
25/07/2023,29177.63,1850.02,0.02500175533,0.9055
24/07/2023,30076.96,1884.9165,0.02470898917,0.902485
23/07/2023,29782.33,1866.0106,0.02587199672,0.8982
22/07/2023,29907.93,1888.8037,0.02546208392,0.8982
21/07/2023,29799.99,1889.8031,0.0256678162,0.898915
20/07/2023,29921.32,1886.8799,0.02601842647,0.8991
19/07/2023,29864.97,1894.8913,0.02679081862,0.8936
18/07/2023,30130.04,1907.6368,0.02567170147,0.891915
17/07/2023,30199.96,1910.6658,0.02528771102,0.890215
16/07/2023,30288.03,1926.151,0.02600343296,0.88915
15/07/2023,30295.4,1934.1336,0.02617048863,0.88915
14/07/2023,31440.82,1997.7814,0.02677988972,0.8921
13/07/2023,30388.02,1872.8451,0.0304545063,0.89734
12/07/2023,30612.86,1878.2883,0.02436016086,0.90715
11/07/2023,30410.56,1875.5739,0.02432877738,0.90757
10/07/2023,30137.37,1861.0022,0.02333913761,0.91145
09/07/2023,30274.8,1866.708,0.02368732811,0.91145
08/07/2023,30319.98,1869.6943,0.02356643282,0.91145
07/07/2023,29826.18,1837.1606,0.02358766637,0.91145
06/07/2023,30484.82,1911.1146,0.02360888356,0.91968
05/07/2023,30789.19,1937.7348,0.02471894681,0.92068
04/07/2023,31143.22,1954.5748,0.02532317712,0.91792
03/07/2023,30625.27,1931.2573,0.02416679917,0.91613
02/07/2023,30583.43,1918.6197,0.02398030811,0.91605
01/07/2023,30493.64,1932.1041,0.02486992899,0.91605
30/06/2023,30449.99,1854.1173,0.02379275383,0.91618
29/06/2023,30091.21,1832.1497,0.02271810916,0.9196
28/06/2023,30674.48,1884.8866,0.02262233224,0.91657
27/06/2023,30258,1859.4074,0.02396305654,0.91251
26/06/2023,30441.38,1893.2889,0.0235390567,0.91677
25/06/2023,30529.28,1868.2701,0.02304630324,0.9148
24/06/2023,30638.68,1887.8136,0.02336396744,0.9148
23/06/2023,29918.02,1869.5694,0.02286809745,0.91852
22/06/2023,29999.68,1875.1689,0.021806084,0.91288
21/06/2023,28278.24,1777.309,0.02189351757,0.91153
20/06/2023,26805.47,1733.2149,0.02071848353,0.91621
19/06/2023,26351.21,1722.223,0.02026206009,0.91585
18/06/2023,26520.55,1726.2163,0.02007786755,0.91235
17/06/2023,26340.38,1716.4105,0.02028452277,0.91235
16/06/2023,25545.43,1669.0296,0.02016662695,0.91473
15/06/2023,25096.31,1662.7519,0.02005855734,0.91371
14/06/2023,25943.91,1741.0509,0.0197647845,0.9205
13/06/2023,25910.04,1743.649,0.02042355053,0.92615
12/06/2023,25922.89,1752.8106,0.02038119342,0.93043
11/06/2023,25820.23,1751.2429,0.02031140304,0.9289
10/06/2023,26481.47,1842.5631,0.02006817114,0.9289
09/06/2023,26509.38,1849.1943,0.02296085302,0.93025
08/06/2023,26341.33,1837.8113,0.02255176003,0.927257
07/06/2023,27205.09,1888.6068,0.02261295202,0.935
06/06/2023,25732.42,1813.1428,0.02330669896,0.93557
05/06/2023,27092.18,1889.4436,0.02263201663,0.933576
04/06/2023,27063.05,1893.0282,0.02384114136,0.93235
03/06/2023,27220.07,1906.9102,0.02391852038,0.93235
02/06/2023,26809.55,1863.0468,0.02351914385,0.93366
01/06/2023,27234.27,1872.3837,0.02318108943,0.92937
31/05/2023,27685.48,1897.4915,0.02336932021,0.94023
30/05/2023,27745.91,1889.465,0.02387184747,0.932358
29/05/2023,28136.36,1906.3225,0.02390117123,0.93341
28/05/2023,26854.22,1831.5936,0.02398247052,0.93185
27/05/2023,26708.84,1829.8244,0.02324019008,0.93185
26/05/2023,26473.75,1807.9065,0.0231828069,0.93271
25/05/2023,26327.73,1802.4297,0.02298608659,0.93334
24/05/2023,27222.41,1852.8137,0.02306997432,0.92948
23/05/2023,26849.25,1819.1952,0.02395669541,0.92871
22/05/2023,26747.74,1809.9227,0.02388145958,0.92485
21/05/2023,27102.42,1822.8401,0.02398793893,0.9239
20/05/2023,26887.36,1815.9208,0.02447037419,0.9239
19/05/2023,26821.27,1803.9775,0.02494198081,0.92395
18/05/2023,27402.25,1824.2547,0.02558300501,0.92905
17/05/2023,27033.81,1825.3643,0.0251405519,0.92211
16/05/2023,27158.66,1818.7859,0.02441234119,0.91985
15/05/2023,26917.59,1802.4325,0.02446562624,0.9194
14/05/2023,26785.6,1798.9945,0.02433454896,0.9141
13/05/2023,26795.03,1806.8852,0.02434287556,0.9141
12/05/2023,26968.6,1796.1733,0.02426327702,0.92144
11/05/2023,27598.8,1844.8687,0.02428299905,0.91509
10/05/2023,27629.96,1852.6282,0.02526230463,0.91138
09/05/2023,27667.26,1859.842,0.02485748008,0.9127
08/05/2023,28417.98,1885.1436,0.02427828174,0.90685
07/05/2023,28848.17,1904.6203,0.02593585705,0.892
06/05/2023,29505.92,1996.1702,0.02609204608,0.892
05/05/2023,28852.74,1876.2068,0.02669001147,0.90626
04/05/2023,29022.13,1902.7802,0.0263989658,0.90697
03/05/2023,28669.84,1870.1125,0.02647738476,0.90511
02/05/2023,28067.12,1831.4411,0.02627447158,0.90908
01/05/2023,29190.79,1871.4051,0.02612941722,0.91162
30/04/2023,29230.49,1904.8073,0.02713244176,0.8987
29/04/2023,29308.51,1889.801,0.02726206278,0.8987
28/04/2023,29472.8,1907.6345,0.02713436265,0.90625
27/04/2023,28415.25,1867.0398,0.02701001138,0.90842
26/04/2023,28297.81,1865.9942,0.02683632827,0.90571
25/04/2023,27521.63,1841.3394,0.02698173885,0.91163
24/04/2023,27589.73,1858.7107,0.02663883102,0.906495
23/04/2023,27818.83,1872.4565,0.02720746729,0.9011
22/04/2023,27262.87,1850.2463,0.02752628673,0.9011
21/04/2023,28240.35,1942.19,0.0274005471,0.910706
20/04/2023,28809.24,1936.9334,0.02749883627,0.91195
19/04/2023,30380.05,2103.9122,0.02745541448,0.91196
18/04/2023,29449.25,2075.8933,0.02925672476,0.911868
17/04/2023,30307.41507,2119.545882,0.02853447948,0.91644
16/04/2023,30295.10993,2091.612003,0.02923455405,0.9006
15/04/2023,30467.8083,2101.3541,0.02897599658,0.9006
14/04/2023,30380.7126,2013.6312,0.02913596833,0.91088
13/04/2023,29883.2295,1917.9009,0.02892768891,0.90468
12/04/2023,30203.7818,1891.7245,0.02854417278,0.90954
11/04/2023,29661.4333,1911.9013,0.0294977416,0.91756
10/04/2023,28323.77217,1855.714429,0.02876563923,0.9216
09/04/2023,27938.3767,1846.3812,0.02815462372,0.9094
08/04/2023,27909.609,1860.3145,0.02845082109,0.9094
07/04/2023,28033.8221,1868.2305,0.02816695297,0.91655
06/04/2023,28174.1065,1904.7986,0.02868466748,0.91438
05/04/2023,28161.7377,1869.2485,0.02905081549,0.9175
04/04/2023,27807.76834,1809.424169,0.02838364821,0.91376
03/04/2023,28170.7772,1794.0625,0.02767229218,0.91858
02/04/2023,28452.74021,1817.766339,0.02813212154,0.9199
01/04/2023,28467.88285,1819.395453,0.02949117463,0.92057
31/03/2023,28028.48413,1791.38895,0.02873007725,0.92057
30/03/2023,28348.5437,1793.1328,0.0275280969,0.917221
29/03/2023,27266.6718,1770.4167,0.02783695373,0.92353
28/03/2023,27131.2072,1714.1185,0.02711523049,0.9223
27/03/2023,27970.49883,1771.721036,0.02661196295,0.92695
26/03/2023,27493.601,1742.4593,0.02670653659,0.9275
